order_id,customer_id,order_date,status,total_amount,discount_amount,channel
ORD-0000001,CUST-000684,2026-01-24,Completed,6.57,0.73,web
ORD-0000002,CUST-000917,2025-11-21,Completed,25.97,0.0,mobile
ORD-0000003,CUST-000655,2025-11-04,Completed,30.43,0.0,mobile
ORD-0000004,CUST-000225,2025-11-06,Completed,9.98,0.0,web
ORD-0000005,CUST-000621,2025-01-05,Completed,17.71,0.0,marketplace
ORD-0000006,CUST-000776,2024-12-08,Completed,9.16,0.0,web
ORD-0000007,CUST-000254,2025-12-16,Completed,43.35,0.0,mobile
ORD-0000008,CUST-000539,2025-12-17,Completed,86.06,0.0,web
ORD-0000009,CUST-000578,2026-01-16,Refunded,108.36,23.38,web
ORD-0000010,CUST-000550,2026-02-27,Completed,62.29,7.2,web
ORD-0000011,CUST-000211,2025-05-22,Completed,20.68,0.0,marketplace
ORD-0000012,CUST-000457,2025-05-14,Completed,9.53,0.0,web
ORD-0000013,CUST-000468,2025-12-12,Completed,10.96,0.0,mobile
ORD-0000014,CUST-000316,2025-09-29,Completed,16.2,0.0,mobile
ORD-0000015,CUST-000764,2025-11-06,Completed,21.95,1.42,mobile
ORD-0000016,CUST-000555,2025-12-11,Pending,39.34,0.0,web
ORD-0000017,CUST-000957,2026-02-05,Completed,19.86,0.0,web
ORD-0000018,CUST-000139,2024-12-25,Cancelled,58.63,0.0,mobile
ORD-0000019,CUST-000431,2025-01-18,Refunded,37.12,0.0,web
ORD-0000020,CUST-000940,2024-08-05,Completed,45.08,0.0,mobile
ORD-0000021,CUST-000678,2025-07-24,Completed,111.3,0.0,marketplace
ORD-0000022,CUST-000122,2024-06-15,Completed,17.39,2.74,mobile
ORD-0000023,CUST-000229,2025-04-12,Completed,62.49,0.0,in-store
ORD-0000024,CUST-000475,2025-06-21,Completed,44.2,0.0,web
ORD-0000025,CUST-000844,2024-12-06,Completed,34.23,4.86,web
ORD-0000026,CUST-000897,2025-08-05,Completed,90.76,0.0,mobile
ORD-0000027,CUST-000430,2024-06-10,Pending,90.31,0.0,marketplace
ORD-0000028,CUST-000247,2024-06-17,Completed,20.96,1.47,web
ORD-0000029,CUST-000721,2025-12-21,Completed,38.64,0.0,web
ORD-0000030,CUST-000450,2025-01-06,Refunded,55.98,5.23,web
ORD-0000031,CUST-000516,2024-09-03,Completed,35.93,0.0,marketplace
ORD-0000032,CUST-000590,2025-06-01,Completed,71.38,0.0,mobile
ORD-0000033,CUST-000329,2025-12-01,Cancelled,55.98,12.61,web
ORD-0000034,CUST-000424,2024-11-09,Completed,193.65,0.0,marketplace
ORD-0000035,CUST-000901,2025-09-04,Completed,13.14,0.0,mobile
ORD-0000036,CUST-000570,2024-07-29,Cancelled,40.53,0.0,marketplace
ORD-0000037,CUST-000688,2024-06-30,Completed,21.61,0.0,mobile
ORD-0000038,CUST-000419,2025-06-10,Completed,72.48,9.08,web
ORD-0000039,CUST-000870,2025-06-19,Completed,12.26,2.72,web
ORD-0000040,CUST-000060,2025-09-18,Pending,58.97,0.0,web
ORD-0000041,CUST-000138,2025-11-15,Completed,27.0,0.0,web
ORD-0000042,CUST-000081,2026-04-21,Completed,24.85,0.0,web
ORD-0000043,CUST-000742,2025-05-27,Completed,14.05,0.0,web
ORD-0000044,CUST-000620,2024-12-20,Refunded,30.81,0.0,web
ORD-0000045,CUST-000780,2025-12-11,Completed,106.44,0.0,web
ORD-0000046,CUST-000214,2024-11-30,Completed,43.81,0.0,in-store
ORD-0000047,CUST-000016,2025-03-18,Completed,73.86,6.5,mobile
ORD-0000048,CUST-000773,2024-07-25,Completed,169.31,0.0,mobile
ORD-0000049,CUST-000210,2024-06-06,Completed,55.2,0.0,web
ORD-0000050,CUST-000290,2026-04-08,Completed,28.59,0.0,web
ORD-0000051,CUST-000268,2025-12-27,Refunded,64.96,0.0,web
ORD-0000052,CUST-000823,2025-11-04,Completed,28.92,0.0,mobile
ORD-0000053,CUST-000937,2025-02-18,Completed,29.86,3.36,marketplace
ORD-0000054,CUST-000760,2024-10-14,Pending,13.25,1.35,web
ORD-0000055,CUST-000428,2024-10-01,Completed,93.79,8.37,web
ORD-0000056,CUST-000252,2024-11-23,Completed,32.83,0.0,mobile
ORD-0000057,CUST-000264,2025-06-27,Completed,51.71,0.0,mobile
ORD-0000058,CUST-000758,2025-11-11,Completed,19.52,0.0,mobile
ORD-0000059,CUST-000174,2025-10-09,Completed,63.36,10.09,marketplace
ORD-0000060,CUST-000658,2024-12-04,Completed,24.3,0.0,mobile
ORD-0000061,CUST-000077,2026-04-03,Completed,39.91,0.0,mobile
ORD-0000062,CUST-000423,2025-11-20,Completed,90.22,15.89,web
ORD-0000063,CUST-000224,2025-07-02,Completed,84.15,0.0,mobile
ORD-0000064,CUST-000683,2025-08-24,Refunded,43.92,0.0,mobile
ORD-0000065,CUST-000017,2025-02-28,Completed,10.86,1.74,web
ORD-0000066,CUST-000282,2024-11-22,Completed,489.92,0.0,web
ORD-0000067,CUST-000715,2025-01-02,Completed,180.67,0.0,marketplace
ORD-0000068,CUST-000110,2025-11-27,Completed,79.69,0.0,web
ORD-0000069,CUST-000635,2024-05-26,Completed,24.47,0.0,web
ORD-0000070,CUST-000407,2024-08-24,Completed,40.82,9.87,web
ORD-0000071,CUST-000714,2024-06-25,Completed,28.94,5.41,mobile
ORD-0000072,CUST-000879,2024-06-20,Completed,122.86,0.0,web
ORD-0000073,CUST-000387,2026-01-06,Completed,55.15,0.0,web
ORD-0000074,CUST-000176,2025-11-07,Completed,23.87,5.23,web
ORD-0000075,CUST-000879,2025-04-20,Refunded,30.67,0.0,marketplace
ORD-0000076,CUST-000236,2024-08-07,Refunded,109.61,24.51,web
ORD-0000077,CUST-000048,2025-05-07,Completed,160.79,0.0,web
ORD-0000078,CUST-000557,2025-04-20,Completed,151.82,0.0,marketplace
ORD-0000079,CUST-000323,2024-10-14,Completed,81.91,7.49,mobile
ORD-0000080,CUST-000841,2025-03-13,Completed,36.52,0.0,web
ORD-0000081,CUST-000247,2025-02-08,Completed,5.0,0.0,mobile
ORD-0000082,CUST-000554,2025-08-29,Completed,56.7,0.0,web
ORD-0000083,CUST-000706,2025-09-15,Completed,44.64,0.0,in-store
ORD-0000084,CUST-000055,2024-06-24,Completed,50.0,4.82,mobile
ORD-0000085,CUST-000629,2025-01-17,Completed,46.67,0.0,mobile
ORD-0000086,CUST-000031,2025-09-07,Completed,15.47,0.0,web
ORD-0000087,CUST-000234,2025-05-15,Pending,69.82,0.0,web
ORD-0000088,CUST-000697,2026-01-07,Completed,74.13,0.0,mobile
ORD-0000089,CUST-000303,2025-10-08,Completed,77.16,0.0,web
