product_id,name,category,cost_price,list_price,is_active
PROD-00001,Wireless Headphones,Electronics,30.66,46.89,True
PROD-00002,Smart Watch,Electronics,20.13,30.06,True
PROD-00003,Bluetooth Speaker,Electronics,29.31,52.11,True
PROD-00004,USB-C Hub,Electronics,59.11,96.17,True
PROD-00005,Mechanical Keyboard,Electronics,16.22,28.11,True
PROD-00006,Webcam HD,Electronics,15.89,28.11,True
PROD-00007,Portable Charger,Electronics,59.45,100.03,True
PROD-00008,LED Desk Lamp,Electronics,37.27,56.67,True
PROD-00009,Noise Canceller,Electronics,14.7,23.84,True
PROD-00010,Digital Thermometer,Electronics,31.9,48.41,True
PROD-00011,Cotton T-Shirt,Clothing,15.37,23.94,True
PROD-00012,Denim Jacket,Clothing,15.44,23.9,True
PROD-00013,Running Shorts,Clothing,21.91,39.23,True
PROD-00014,Wool Sweater,Clothing,5.3,8.68,True
PROD-00015,Silk Scarf,Clothing,6.56,9.9,True
PROD-00016,Canvas Sneakers,Clothing,12.39,22.34,True
PROD-00017,Yoga Pants,Clothing,10.62,16.3,True
PROD-00018,Linen Shirt,Clothing,23.47,41.26,True
PROD-00019,Beanie Hat,Clothing,11.34,17.54,True
PROD-00020,Leather Belt,Clothing,8.53,12.32,False
PROD-00021,Scented Candle Set,Home,52.94,92.38,True
PROD-00022,Throw Pillow,Home,17.12,28.27,True
PROD-00023,Wall Clock,Home,19.5,34.72,True
PROD-00024,Plant Pot Ceramic,Home,7.39,12.22,True
PROD-00025,Kitchen Scale,Home,13.39,22.62,True
PROD-00026,Bath Towel Set,Home,19.82,35.79,True
PROD-00027,Photo Frame,Home,9.29,14.8,True
PROD-00028,Door Mat,Home,24.45,43.08,True
PROD-00029,Storage Basket,Home,14.26,21.75,True
PROD-00030,Coaster Set,Home,17.33,27.0,True
PROD-00031,Yoga Mat,Sports,15.21,21.73,True
PROD-00032,Resistance Band Set,Sports,69.07,121.1,True
PROD-00033,Jump Rope,Sports,18.89,32.8,True
PROD-00034,Water Bottle,Sports,11.05,15.79,True
PROD-00035,Gym Gloves,Sports,40.94,58.9,True
PROD-00036,Foam Roller,Sports,9.16,14.09,True
PROD-00037,Tennis Balls Pack,Sports,24.24,38.33,True
PROD-00038,Hiking Socks,Sports,5.0,8.4,True
PROD-00039,Swim Goggles,Sports,8.58,13.07,True
PROD-00040,Fitness Tracker Band,Sports,21.9,38.01,True
PROD-00041,Moisturiser SPF30,Beauty,32.41,55.53,True
PROD-00042,Lip Balm Organic,Beauty,24.97,37.34,True
PROD-00043,Face Serum,Beauty,19.06,30.54,True
PROD-00044,Hair Oil,Beauty,17.05,26.82,True
PROD-00045,Nail Polish Set,Beauty,8.2,11.76,True
PROD-00046,Eye Cream,Beauty,13.66,20.01,True
PROD-00047,Body Lotion,Beauty,14.63,23.99,True
PROD-00048,Sunscreen Mist,Beauty,43.16,69.41,True
PROD-00049,Face Mask Pack,Beauty,25.75,42.12,True
PROD-00050,Perfume Rollerball,Beauty,5.48,9.64,True
PROD-00051,Wireless Headphones v2,Electronics,23.31,41.55,True
PROD-00052,Smart Watch v2,Electronics,15.87,25.29,True
PROD-00053,Bluetooth Speaker v2,Electronics,13.91,20.62,True
PROD-00054,USB-C Hub v2,Electronics,32.43,50.81,True
PROD-00055,Mechanical Keyboard v2,Electronics,38.8,68.15,True
PROD-00056,Webcam HD v2,Electronics,43.23,63.55,True
PROD-00057,Portable Charger v2,Electronics,11.55,18.4,True
PROD-00058,LED Desk Lamp v2,Electronics,15.32,26.67,True
PROD-00059,Noise Canceller v2,Electronics,24.38,41.76,True
PROD-00060,Digital Thermometer v2,Electronics,41.15,65.55,True
PROD-00061,Cotton T-Shirt v2,Clothing,13.3,23.68,True
PROD-00062,Denim Jacket v2,Clothing,20.17,29.08,True
PROD-00063,Running Shorts v2,Clothing,9.83,15.27,True
PROD-00064,Wool Sweater v2,Clothing,8.08,14.33,True
PROD-00065,Silk Scarf v2,Clothing,37.36,58.48,True
PROD-00066,Canvas Sneakers v2,Clothing,49.26,85.57,True
PROD-00067,Yoga Pants v2,Clothing,21.58,31.49,True
PROD-00068,Linen Shirt v2,Clothing,46.03,66.85,False
PROD-00069,Beanie Hat v2,Clothing,28.99,42.66,True
PROD-00070,Leather Belt v2,Clothing,14.59,21.08,True
PROD-00071,Scented Candle Set v2,Home,25.15,42.65,True
PROD-00072,Throw Pillow v2,Home,61.8,97.19,True
PROD-00073,Wall Clock v2,Home,17.91,32.3,True
PROD-00074,Plant Pot Ceramic v2,Home,62.56,99.01,True
PROD-00075,Kitchen Scale v2,Home,3.15,5.29,True
PROD-00076,Bath Towel Set v2,Home,39.51,58.87,True
PROD-00077,Photo Frame v2,Home,21.75,35.2,True
PROD-00078,Door Mat v2,Home,15.41,26.86,True
PROD-00079,Storage Basket v2,Home,21.88,35.31,True
PROD-00080,Coaster Set v2,Home,4.71,8.24,True
PROD-00081,Yoga Mat v2,Sports,16.98,28.4,True
PROD-00082,Resistance Band Set v2,Sports,25.59,42.52,True
PROD-00083,Jump Rope v2,Sports,61.88,93.18,True
PROD-00084,Water Bottle v2,Sports,13.04,23.04,True
PROD-00085,Gym Gloves v2,Sports,10.69,18.8,True
PROD-00086,Foam Roller v2,Sports,13.31,23.31,True
PROD-00087,Tennis Balls Pack v2,Sports,43.48,62.85,True
PROD-00088,Hiking Socks v2,Sports,25.54,41.68,True
PROD-00089,Swim Goggles v2,Sports,15.66,22.85,True
PROD-00090,Fitness Tracker Band v2,Sports,32.73,47.43,True
PROD-00091,Moisturiser SPF30 v2,Beauty,20.5,35.44,True
PROD-00092,Lip Balm Organic v2,Beauty,45.63,65.24,True
PROD-00093,Face Serum v2,Beauty,13.81,20.26,True
PROD-00094,Hair Oil v2,Beauty,14.84,26.33,True
PROD-00095,Nail Polish Set v2,Beauty,15.57,25.17,True
PROD-00096,Eye Cream v2,Beauty,7.58,11.89,False
PROD-00097,Body Lotion v2,Beauty,24.13,40.74,True
PROD-00098,Sunscreen Mist v2,Beauty,26.89,39.76,True
PROD-00099,Face Mask Pack v2,Beauty,19.7,33.23,False
PROD-00100,Perfume Rollerball v2,Beauty,15.91,28.1,True
PROD-00101,Wireless Headphones v3,Electronics,7.25,12.3,True
PROD-00102,Smart Watch v3,Electronics,15.06,24.67,False
PROD-00103,Bluetooth Speaker v3,Electronics,14.53,26.05,True
PROD-00104,USB-C Hub v3,Electronics,11.42,18.89,True
